name,lvl,xp,title,rank,current_lvl,current_xp,first_xp,first_lvl,gained_xp,old_names,wom_id,wom_name,score,inactive,deactivated,deactivated_xp,deactivated_lvl,deactivated_date,reactivated_xp,reactivated_lvl,reactivated_date
McDongloads,2062,232474789,,Opal,2062,232477523,232474789,2062,0,,420387,McDongloads,,false,false,,,,,,
Ralladorn,1692,35621908,,Opal,1692,35621908,35621908,1692,0,,771857,Ralladorn,,false,false,,,,,,
Roinrin,2037,124489920,,Opal,2038,125405146,124489920,2037,39227831,,,id,,false,false,,,,,,
s e p p e m,2123,189310283,,Opal,2124,189649881,189310283,2123,9063556,,,,,false,true,189649881,2124,2023-08-02 19:00:54 UTC,,,
T Bow Daddy,1978,181172175,,Opal,1978,181296735,181172175,1978,2950014,,,id,,false,false,,,,,,
Lets keep it,1692,35621908,,Ruby,1796,73946973,35621908,1692,24092805,,944718,Lets keep it,,false,true,73946973,1796,2023-08-02 18:53:51 UTC,,,
Wablow,1869,151708821,,Opal,1869,151708821,151708821,1869,1014222,,837359,Wablow,,false,false,,,,,,
mpxd,2244,328782329,,Opal,2244,328782329,328782329,2244,45642881,,697667,mpxd,,false,false,,,,,,
osrs,2277,828938636,,Opal,2277,828938636,828938636,2277,28556487,,110740,osrs,,false,false,,,,,,
RoBo TriPz,1913,88050570,,Opal,1913,88050570,88050570,1913,19701512,,960263,RoBo TriPz,,false,false,,,,,,
FattyMcDon,1889,82638592,,Opal,1889,82638592,82638592,1889,23396105,,507510,fattymcdon,,false,false,,,,,,
Saidin Rage,,,,Opal,0,0,,,35632805,,151858,Saidin Rage,,false,false,,,,,,
